iter	Passed	Remaining
242	413	1289
243	415	1286
244	416	1282
245	417	1278
246	418	1274
247	419	1271
248	420	1267
249	421	1264
250	422	1259
251	423	1255
252	423	1251
253	424	1247
254	425	1243
255	426	1240
256	427	1236
257	428	1232
258	429	1228
259	430	1224
260	431	1220
261	432	1216
262	433	1213
263	433	1209
264	434	1205
265	435	1201
266	436	1197
267	437	1193
268	437	1190
269	439	1187
270	440	1183
271	440	1180
272	441	1176
273	442	1172
274	443	1168
275	444	1165
276	445	1161
277	445	1158
278	447	1155
279	447	1151
280	448	1147
281	449	1144
282	450	1140
283	451	1137
284	452	1135
285	453	1131
286	454	1128
287	454	1124
288	455	1121
289	456	1118
290	457	1114
291	458	1111
292	459	1109
293	460	1105
294	461	1102
295	462	1099
296	463	1096
297	464	1093
298	465	1090
299	466	1087
300	466	1084
301	467	1080
302	468	1077
303	469	1074
304	470	1072
305	471	1069
306	472	1066
307	473	1063
308	474	1059
309	474	1057
310	475	1054
311	476	1051
312	477	1049
313	478	1045
314	479	1042
315	480	1039
316	481	1036
317	482	1033
318	482	1031
319	483	1027
320	484	1024
321	485	1022
322	486	1019
323	487	1016
324	488	1014
325	489	1012
326	490	1009
327	491	1006
328	492	1003
329	493	1001
330	493	998
331	494	995
332	495	992
333	496	990
334	497	988
335	498	985
336	499	982
337	500	980
338	501	977
339	502	974
340	503	972
341	503	969
342	504	966
343	505	963
344	506	961
345	507	958
346	508	956
347	509	953
348	509	951
349	510	948
350	511	945
351	512	942
352	513	940
353	514	938
354	514	935
355	515	933
356	516	930
357	517	927
358	518	925
359	519	923
360	520	920
361	520	918
362	521	915
363	522	912
364	523	910
365	524	907
366	524	905
367	525	903
368	526	900
369	527	898
370	528	896
371	529	893
372	530	891
373	530	888
374	531	886
375	532	884
376	533	881
377	534	879
378	535	877
379	536	874
380	536	872
381	537	870
382	538	867
383	539	866
384	540	863
385	541	861
386	542	859
387	543	856
388	544	854
389	545	852
390	546	850
391	546	848
392	547	845
393	548	843
394	549	841
395	549	838
396	550	836
397	551	834
398	552	832
399	553	830
400	554	828
401	555	825
402	555	823
403	556	821
404	557	819
405	558	817
406	559	815
407	560	812
408	560	810
409	561	808
410	562	806
411	563	804
412	564	802
413	565	799
414	565	797
415	566	795
416	567	793
417	568	791
418	569	789
419	569	787
420	570	785
421	571	783
422	572	781
423	573	778
424	574	776
425	575	774
426	576	773
427	577	771
428	577	769
429	578	767
430	579	765
431	580	762
432	581	760
433	581	758
434	582	757
435	583	755
436	584	753
437	585	751
438	586	749
439	587	747
440	587	745
441	588	743
442	589	741
443	590	739
444	591	737
445	592	735
446	592	733
447	593	731
448	594	729
449	595	728
450	596	726
451	597	724
452	598	722
453	599	720
454	599	718
455	600	716
456	601	714
457	602	712
458	603	711
459	604	709
460	604	707
461	605	705
462	606	703
463	607	701
464	608	699
465	609	698
466	610	696
467	610	694
468	611	692
469	612	690
470	613	688
471	614	686
472	615	685
473	615	683
474	616	681
475	617	679
